postcode,total_lodgements,avg_weekly_rent,median_weekly_rent,total_refunds,avg_days_bond_held,median_days_bond_held,avg_payment_to_tenant,bonds_held,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population,refund_to_lodgement_ratio,rent_pressure_score
2036,2178,1116.31,1055.5,2156.0,705.93,399.5,3294.91,5499,1021.77,7.0,1055.77,9.0,33767.0,0.99,1.03
2037,1720,888.51,805.0,1908.0,767.39,448.5,2594.07,4739,1015.02,6.0,1101.54,10.0,16641.0,1.11,0.79
2038,510,838.14,777.0,571.0,909.36,569.0,2583.26,1852,1095.51,10.0,1159.0,10.0,9487.0,1.12,0.71
2039,480,974.44,895.0,518.0,975.35,691.5,3011.99,1484,1103.99,10.0,1170.81,10.0,8553.0,1.08,0.81
2040,1026,861.34,820.0,1132.0,986.56,590.0,2662.62,3542,1072.41,9.0,1140.07,10.0,22803.0,1.1,0.76
2041,752,973.23,862.5,808.0,914.41,582.0,3139.08,2617,1089.08,10.0,1160.88,10.0,15584.0,1.07,0.79
2042,1670,766.71,725.0,1889.0,893.61,551.0,2161.29,5286,1066.28,9.0,1141.62,10.0,18673.0,1.13,0.68
2043,873,907.63,880.0,912.0,773.73,548.0,2836.76,2391,1102.83,10.0,1184.66,10.0,9657.0,1.04,0.8
2044,411,874.45,890.0,433.0,868.39,680.0,2737.85,1374,1055.55,8.0,1115.72,10.0,8278.0,1.05,0.84
2045,97,904.23,880.0,103.0,917.83,542.0,2876.97,427,1082.67,10.0,1124.81,10.0,6480.0,1.06,0.81
2046,933,951.71,850.0,982.0,1070.44,710.5,2761.86,3400,1068.28,9.0,1114.48,10.0,27288.0,1.05,0.8
2047,596,949.41,850.0,633.0,1062.42,674.0,2854.92,1955,1091.21,10.0,1144.09,10.0,12011.0,1.06,0.78
2048,538,768.73,680.0,555.0,780.19,494.0,2144.74,1762,1080.42,10.0,1139.73,10.0,7619.0,1.03,0.63
2049,908,714.57,699.5,978.0,903.52,566.0,2106.6,3189,1065.35,9.0,1126.72,10.0,12258.0,1.08,0.66
2050,998,889.87,850.0,1156.0,778.98,497.5,2442.74,2768,1080.15,10.0,1161.9,10.0,9381.0,1.16,0.79
2057,1,575.0,575.0,1.0,105.0,105.0,2300.0,0,997.45,5.0,983.38,6.0,8739.0,1.0,0.58
2060,1507,921.68,825.0,1581.0,906.25,623.0,2741.73,4798,1094.51,10.0,1166.18,10.0,15135.0,1.05,0.75
2061,615,1025.57,875.0,656.0,859.18,620.0,3175.1,2127,1070.02,9.0,1156.79,10.0,6158.0,1.07,0.82
2062,368,946.34,800.0,412.0,1003.71,735.0,3077.4,1302,1103.16,10.0,1164.25,10.0,7088.0,1.12,0.72
2063,156,1295.19,995.0,159.0,905.08,518.0,4740.92,467,1121.92,10.0,1181.47,10.0,6493.0,1.02,0.89
2064,442,854.5,760.0,487.0,1162.11,787.0,2484.54,1813,1061.52,9.0,1126.79,10.0,9417.0,1.1,0.72
2065,2494,948.16,850.0,2811.0,868.23,627.0,2937.49,7907,1103.12,10.0,1171.33,10.0,31698.0,1.13,0.77
2066,1526,855.98,750.0,1591.0,938.57,682.0,2654.87,4605,1102.11,10.0,1157.56,10.0,33844.0,1.04,0.68
2067,2037,921.92,820.0,2261.0,775.68,461.0,2784.79,5520,1039.44,8.0,1116.62,10.0,27078.0,1.11,0.79
2068,522,1122.93,950.0,485.0,855.46,552.0,3561.31,1693,1098.83,10.0,1157.59,10.0,17450.0,0.93,0.86
2069,355,1098.13,900.0,381.0,981.86,622.0,3263.15,1090,1114.43,10.0,1172.48,10.0,14604.0,1.07,0.81
2070,485,1058.73,950.0,475.0,844.07,601.0,3225.18,1294,1103.69,10.0,1163.74,10.0,14648.0,0.98,0.86
2071,362,1055.95,850.0,382.0,844.22,614.0,3431.43,1085,1097.33,10.0,1155.57,10.0,13510.0,1.06,0.78
2072,397,911.35,820.0,434.0,875.29,586.0,2942.11,1141,1078.73,10.0,1141.63,10.0,8795.0,1.09,0.76
